211,Fernández
165,Lee
113,Popp
178,Grant
155,Tuvault
161,Sewall
164,Marvins
172,Bates
213,Sánchez
171,Smith
154,Cambrault
160,Doran
111,Sciarra
112,Urman
122,Kaufling
120,Weiss
153,Olsen
159,Smith
110,Chen
121,Fripp
206,Gietz
177,Livingston
176,Taylor
175,Hutton
109,Faviet
158,McEwen
152,Hall
103,Hunold
157,Sully
151,Bernstein
163,Greene
170,Fox
156,King
150,Tucker
169,Bloom
204,Baer
149,Zlotkey
162,Vishney
214,Gómez
148,Cambrault
114,Raphaely
174,Abel
168,Ozer
108,Greenberg
147,Errazuriz
205,Higgins
209,Rodríguez
201,Hartstein
146,Partners
145,Russell
210,López
101,Kochhar
102,De Haan
216,Ramírez
100,King
